dataset_name,test_name,T_train,C_train,R_train,S_train,N_train,MSE_train
mnist,SSNP-GT,0.7787164504767632,0.9218962059387796,0.39008880149626485,0.5571812747939323,0.9884666666666668,-99.0
mnist,SSNP-KMeans,0.8821000085903273,0.9283302121810841,0.36768978986397544,0.2795290613661085,0.758,-99.0
mnist,SSNP-IF,0.6846497437219025,0.854973593333906,0.3254565087124951,0.8394260140121651,0.537,-99.0
mnist,SSNP-KMeans-IF,0.873328030237952,0.8975910775133866,0.09294249922363364,0.3213837723886946,0.7498666666666666,-99.0
mnist,SSNP-AG,0.8538883429258655,0.9275341809122928,0.25565380104404595,0.3819695637617121,0.8110666666666666,-99.0
mnist,SSNP-AG-IF,0.8557846004066089,0.9090047074993557,0.09700614577785922,0.41159520806018424,0.8015333333333333,-99.0
mnist,SSNP-KM-AG-IF,0.8626632992583684,0.9030227471866679,0.062357763026854585,0.3553791109803551,0.7820666666666666,-99.0
mnist,SSNP-LOF,0.7402561005640982,0.8794738539071671,0.3288089668694203,0.6938961271199264,0.5878,-99.0
mnist,SSNP-KMeans-LOF,0.8814681098416517,0.9050443604501331,0.28942806047251,0.2959621898989726,0.7714,-99.0
mnist,SSNP-AG-LOF,0.8462636543252298,0.9163962775248403,0.13801107076772937,0.35789500953475134,0.8085333333333333,-99.0
mnist,SSNP-KM-AG-LOF,0.8664392348881826,0.9092512728001604,0.21233655070995366,0.31212553705185203,0.7946,-99.0
mnist,AE,0.8749473241130488,0.9058171004781949,-0.009371107270286706,2.094005142678758,0.692,-99.0
mnist,TSNE,0.9851763765999485,0.9721298399335682,0.4103736597182073,8.960688529452657,0.9446666666666667,-99.0
mnist,UMAP,0.9554460212467428,0.9737338315723162,0.3842705578756044,0.22955703125957436,0.9194,-99.0
mnist,NNP,0.9416201070927469,0.9701846175872634,0.42322872604229544,0.9127626367031083,0.8855333333333334,-99.0
fashionmnist,SSNP-GT,0.8715580104801993,0.944734249634911,0.4831215875632892,0.485896786914293,0.8760666666666668,-99.0
fashionmnist,SSNP-KMeans,0.9553840391718924,0.9776964464679437,0.6953971543715652,0.15103444674958616,0.7442666666666666,-99.0
fashionmnist,SSNP-IF,0.9102633851616413,0.9549056552988002,0.5958381544574812,0.7156125422046619,0.677,-99.0
fashionmnist,SSNP-KMeans-IF,0.9567187984995562,0.9799178249291298,0.5669168723336455,0.18216605153098492,0.7439333333333333,-99.0
fashionmnist,SSNP-AG,0.9502754058929646,0.978221212381525,0.7076561520498048,0.15537403167128777,0.7542,-99.0
fashionmnist,SSNP-AG-IF,0.9401599003522034,0.9650752283595339,0.43078003498092066,0.3189693661796469,0.7530666666666666,-99.0
fashionmnist,SSNP-KM-AG-IF,0.9584552529851388,0.9829719554448357,0.70410796541844,0.11413347667017862,0.7536,-99.0
fashionmnist,SSNP-LOF,0.9028632878045987,0.9589985110099362,0.579829949385962,0.6552274136370123,0.6582666666666666,-99.0
fashionmnist,SSNP-KMeans-LOF,0.954432419895198,0.9806126106004639,0.7261524474129326,0.12940362980417022,0.7408666666666666,-99.0
fashionmnist,SSNP-AG-LOF,0.9487891074649945,0.9777562695072015,0.6292947183778402,0.15898349369786322,0.7600666666666666,-99.0
fashionmnist,SSNP-KM-AG-LOF,0.952529679580792,0.9799404117630215,0.5275896872646895,0.19119418381377218,0.7459999999999999,-99.0
fashionmnist,AE,0.960972648397904,0.9778188357243077,0.5174974408717729,0.2995687351482347,0.7244,-99.0
fashionmnist,TSNE,0.9902396644045471,0.9871910946940412,0.6638282722586024,5.351140120422803,0.8430666666666667,-99.0
fashionmnist,UMAP,0.9807137072989147,0.9880617472725711,0.6349235661868637,0.17835616652800734,0.8046666666666666,-99.0
fashionmnist,NNP,0.9691675285628383,0.9864932451393065,0.6748892076105619,0.9244490103009129,0.776,-99.0
har,SSNP-GT,0.8765111531082668,0.9466076682988288,0.761268596458071,0.1737980540799191,0.9822,-99.0
har,SSNP-KMeans,0.9308663402342297,0.9676057383386307,0.7157046536716273,0.12252448027428209,0.8108,-99.0
har,SSNP-IF,0.9009743721902471,0.9361609999140967,0.8817559158252685,0.4764995448930555,0.7236666666666667,-99.0
har,SSNP-KMeans-IF,0.9321352346591072,0.9686802508375569,0.7077118924441252,0.10701100051731821,0.8148,-99.0
har,SSNP-AG,0.9254143916616556,0.9632216533516593,0.7096157606032558,0.10628670688584493,0.8414666666666666,-99.0
har,SSNP-AG-IF,0.9329118575151046,0.9694218824270538,0.7640822210653456,0.12343687014558463,0.8434666666666666,-99.0
har,SSNP-KM-AG-IF,0.9340504595825101,0.9708502877759643,0.6988532394459769,0.25418783340325535,0.8356666666666668,-99.0
har,SSNP-LOF,0.9063327148297684,0.948649348566847,0.8620401947662595,0.7337051621306442,0.7432666666666666,-99.0
har,SSNP-KMeans-LOF,0.9314398419379778,0.9706371388483235,0.7393568065568921,0.10121629247531438,0.8050666666666666,-99.0
har,SSNP-AG-LOF,0.9267293588752398,0.968031801391633,0.7638295305160648,0.10576174009018445,0.8534666666666668,-99.0
har,SSNP-KM-AG-LOF,0.9310974429459096,0.9712692552186238,0.7734664919568371,0.09876701158793551,0.8189333333333333,-99.0
har,AE,0.9360801362998596,0.9696188471780774,0.8164591215194803,0.4783851146695459,0.7884,-99.0
har,TSNE,0.9920476190476191,0.9853938149643502,0.5781148406588574,48.56045339176635,0.9685333333333334,-99.0
har,UMAP,0.9792879420439252,0.9889323311284827,0.8013967069179463,3.5598660486443467,0.9330666666666666,-99.0
har,NNP,0.9663414082409874,0.9848031898748676,0.5985487789692641,0.8490722584075666,0.9064,-99.0
reuters,SSNP-GT,0.5788328780459868,0.7677583884546001,0.33772734069302746,0.4814072004937219,0.9762666666666668,-99.0
reuters,SSNP-KMeans,0.608785831686854,0.7931608510150904,0.07314208494129064,0.6263725605019631,0.7157333333333333,-99.0
reuters,SSNP-IF,0.5857738224093005,0.747675382985425,0.010711685692411719,0.8067311756504919,0.7192666666666666,-99.0
reuters,SSNP-KMeans-IF,0.608785831686854,0.7931608510150904,0.07314208494129064,0.6263725605019631,0.7157333333333333,-99.0
reuters,SSNP-AG,0.6095552443948115,0.7954114308621825,0.16970803245520957,0.3204566425950771,0.7564,-99.0
reuters,SSNP-AG-IF,0.6095552443948115,0.7954114308621825,0.16970803245520957,0.3204566425950771,0.7564,-99.0
reuters,SSNP-KM-AG-IF,0.625920167225038,0.8084579446210234,0.2819563386931371,0.6903165609761489,0.7594,-99.0
reuters,SSNP-LOF,0.5844596684133665,0.7322837728717464,0.21512163939228507,0.8852858603594123,0.7184666666666666,-99.0
reuters,SSNP-KMeans-LOF,0.6112805200011453,0.8221184033445008,0.10226029337816632,0.24140399423890552,0.7268666666666667,-99.0
reuters,SSNP-AG-LOF,0.6079844515076025,0.7910889900638548,-0.04495207144100877,0.238157085446312,0.7544,-99.0
reuters,SSNP-KM-AG-LOF,0.6246589640065286,0.7792236119462819,0.042607391192326434,0.5621589010947735,0.7574666666666666,-99.0
reuters,AE,0.619344718380437,0.7460062995733471,0.12278205681283727,0.6621256631863375,0.7714666666666666,-99.0
reuters,TSNE,0.7422299229733986,0.9118259599690748,0.020951228154071407,30.81581100696694,0.8458,-99.0
reuters,UMAP,0.6609399478853477,0.8705245941070354,-0.09929476356832491,2.393412464775649,0.7568666666666666,-99.0
reuters,NNP,0.694685971995533,0.9093243134896773,0.017982926253668232,0.8202399112450067,0.799,-99.0
